Time	Current
0.01	2.66
0.02	2.659
0.03	2.655
0.04	2.66
0.05	2.657
0.06	2.6630000000000003
0.07	2.661
0.08	2.669
0.09	2.662
0.1	2.668
0.11	2.662
0.12	2.657
0.13	2.656
0.14	2.658
0.15	2.66
0.16	2.661
0.17	2.657
0.18	2.662
0.19	2.655
0.2	2.6630000000000003
0.21	2.661
0.22	2.659
0.23	2.658
0.24	2.6630000000000003
0.25	2.668
0.26	2.6790000000000003
0.27	2.668
0.28	2.676
0.29	2.6630000000000003
0.3	2.677
0.31	2.661
0.32	2.664
0.33	2.658
0.34	2.67
0.35	2.6630000000000003
0.36	2.681
0.37	2.69
0.38	2.701
0.39	2.692
0.4	2.694
0.41	2.712
0.42	2.705
0.43	2.689
0.44	2.69
0.45	2.69
0.46	2.721
0.47	2.721
0.48	2.71
0.49	2.685
0.5	2.713
0.51	2.701
0.52	2.715
0.53	2.71
0.54	2.713
0.55	2.704
0.56	2.706
0.57	2.704
0.58	2.711
0.59	2.708
0.6	2.7
0.61	2.692
0.62	2.694
0.63	2.698
0.64	2.69
0.65	2.677
0.66	2.69
0.67	2.682
0.68	2.685
0.69	2.685
0.7	3.43
0.71	3.47
0.72	3.41
0.73	3.42
0.74	3.49
0.75	5.43
0.76	10.57
0.77	13.93
0.78	15.48
0.79	16.56
0.8	16.48
0.81	16.84
0.82	16.83
0.83	17.02
0.84	17.64
0.85	18.05
0.86	18.33
0.87	18.21
0.88	18.68
0.89	18.18
0.9	15.6
0.91	13.89
0.92	15.89
0.93	13.8
0.94	12.22
0.95	12.06
0.96	11.67
0.97	10.82
0.98	10.36
0.99	11.71
1.0	10.81
1.01	8.48
1.02	7.78
1.03	7.61
1.04	7.4
1.05	7.41
1.06	7.23
1.07	6.98
1.08	6.8
1.09	6.83
1.1	7.41
1.11	10.11
1.12	10.71
1.13	11.68
1.14	11.48
1.15	10.69
1.16	7.61
1.17	7.23
1.18	7.17
1.19	6.84
1.2	6.81
1.21	6.77
1.22	6.68
1.23	6.69
1.24	6.66
1.25	6.73
1.26	6.76
1.27	6.66
1.28	6.54
1.29	7.03
1.3	6.96
1.31	6.99
1.32	6.9
1.33	7.03
1.34	6.57
1.35	6.36
1.36	6.17
1.37	6.0
1.38	5.73
1.39	5.67
1.4	5.45
1.41	5.39
1.42	5.34
1.43	5.18
1.44	5.1
1.45	5.0
1.46	4.88
1.47	4.84
1.48	4.79
1.49	4.9
1.5	4.88
1.51	4.8
1.52	4.85
1.53	4.82
1.54	4.87
1.55	4.71
1.56	4.71
1.57	4.69
1.58	4.54
1.59	4.63
1.6	4.64
1.61	4.47
1.62	4.48
1.63	4.49
1.64	4.5
1.65	4.47
1.66	4.47
1.67	4.46
1.68	4.45
1.69	4.45
1.7	4.45
1.71	4.47
1.72	4.4
1.73	4.35
1.74	4.37
1.75	4.34
1.76	4.39
1.77	4.29
1.78	4.32
1.79	4.34
1.8	4.26
1.81	4.38
1.82	4.39
1.83	4.38
1.84	4.37
1.85	4.36
1.86	4.35
1.87	4.35
1.88	1.31
1.89	1.286
1.9	1.2049999999999998
1.91	1.223
1.92	1.344
1.93	1.4360000000000002
1.94	1.416
1.95	1.396
1.96	1.403
1.97	1.403
1.98	1.746
1.99	1.965
2.0	2.097
2.01	2.104
2.02	2.1900000000000004
2.03	2.355
2.04	2.344
2.05	2.384
2.06	2.4370000000000003
2.07	2.401
2.08	2.339
2.09	2.357
2.1	2.5050000000000003
2.11	2.559
2.12	2.589
2.13	2.616
2.14	2.617
2.15	2.609
2.16	2.609
2.17	2.608
2.18	2.614
2.19	2.516
2.2	2.39
2.21	2.411
2.22	2.384
2.23	2.328
2.24	2.315
2.25	2.383
2.26	2.444
2.27	2.459
2.28	2.502
2.29	2.484
2.3	2.49
2.31	2.51
2.32	2.499
2.33	2.49
2.34	2.481
2.35	2.482
2.36	2.491
2.37	2.475
2.38	2.4320000000000004
2.39	2.397
2.4	2.416
2.41	2.443
2.42	2.491
2.43	2.504
2.44	2.516
2.45	2.514
2.46	2.515
2.47	2.514
2.48	2.5170000000000003
2.49	2.522
2.5	2.541
2.51	2.559
2.52	2.556
2.53	2.544
2.54	2.555
2.55	2.554
2.56	3.75
2.57	3.7
2.58	3.77
2.59	3.76
2.6	3.8
2.61	3.67
2.62	3.71
2.63	3.7
2.64	3.76
2.65	3.72
2.66	3.93
2.67	7.53
2.68	13.74
2.69	13.79
2.7	14.99
2.71	16.5
2.72	17.17
2.73	15.74
2.74	17.35
2.75	16.35
2.76	17.13
2.77	16.9
2.78	17.1
2.79	18.15
2.8	17.42
2.81	15.93
2.82	12.44
2.83	13.48
2.84	14.65
2.85	12.45
2.86	11.45
2.87	11.88
2.88	11.51
2.89	10.69
2.9	10.11
2.91	10.7
2.92	8.72
2.93	7.44
2.94	6.88
2.95	6.57
2.96	6.67
2.97	6.52
2.98	6.46
2.99	6.29
3.0	6.32
3.01	6.12
3.02	6.94
3.03	8.95
3.04	9.98
3.05	10.88
3.06	10.28
3.07	9.86
3.08	8.5
3.09	7.57
3.1	6.73
3.11	6.42
3.12	6.52
3.13	6.42
3.14	6.35
3.15	6.27
3.16	6.12
3.17	6.13
3.18	6.1
3.19	5.93
3.2	6.07
3.21	7.47
3.22	7.7
3.23	7.37
3.24	7.69
3.25	7.6
3.26	7.6
3.27	6.81
3.28	6.19
3.29	6.03
3.3	5.72
3.31	5.49
3.32	5.4
3.33	5.34
3.34	5.33
3.35	5.44
3.36	5.47
3.37	5.43
3.38	5.48
3.39	5.38
3.4	5.37
3.41	5.37
3.42	5.42
3.43	5.35
3.44	5.53
3.45	5.54
3.46	5.72
3.47	5.57
3.48	5.16
3.49	4.99
3.5	4.9
3.51	4.92
3.52	5.0
3.53	4.95
3.54	4.87
3.55	4.85
3.56	4.84
3.57	4.66
3.58	4.74
3.59	4.71
3.6	4.75
3.61	4.66
3.62	4.72
3.63	4.71
3.64	4.75
3.65	4.7
3.66	4.77
3.67	2.657
3.68	2.66
3.69	2.647
3.7	2.658
3.71	2.648
3.72	2.665
3.73	2.652
3.74	2.635
3.75	2.638
3.76	2.644
3.77	2.645
3.78	2.656
3.79	2.651
3.8	2.644
3.81	2.632
3.82	2.639
3.83	2.635
3.84	2.636
3.85	2.628
3.86	2.635
3.87	2.623
3.88	2.645
3.89	2.637
3.9	2.632
3.91	2.623
3.92	2.629
3.93	2.616
3.94	2.625
3.95	2.625
3.96	2.626
3.97	2.62
3.98	2.628
3.99	2.616
4.0	2.622
4.01	2.616
4.02	2.612
4.03	2.607
4.04	2.613
4.05	2.62
4.06	2.62
4.07	2.612
4.08	2.612
4.09	2.608
4.1	2.6180000000000003
4.11	2.608
4.12	2.611
4.13	2.604
4.14	2.617
4.15	2.607
4.16	2.621
4.17	2.615
4.18	2.6180000000000003
4.19	2.616
4.2	2.624
4.21	4.08
4.22	4.14
4.23	4.1
4.24	4.17
4.25	4.07
4.26	4.08
4.27	4.08
4.28	4.17
4.29	4.87
4.3	9.46
4.31	12.0
4.32	13.4
4.33	15.9
4.34	16.08
4.35	16.12
4.36	15.09
4.37	16.79
4.38	16.72
4.39	17.06
4.4	17.18
4.41	17.02
4.42	18.04
4.43	17.55
4.44	13.09
4.45	11.73
4.46	12.45
4.47	10.34
4.48	9.06
4.49	9.08
4.5	8.81
4.51	8.92
4.52	8.16
4.53	8.04
4.54	7.87
4.55	6.9
4.56	6.28
4.57	5.85
4.58	5.77
4.59	5.78
4.6	5.88
4.61	5.69
4.62	5.82
4.63	5.87
4.64	5.84
4.65	5.96
4.66	7.57
4.67	7.46
4.68	7.91
4.69	7.54
4.7	7.02
4.71	6.69
